sheezy0,i sing my own rhythm.
emil_jung,"retired from corporate life, farming in namibia, best place to survive the zombie apocalypse. historian. conversationalist. love science fiction. heimat is rsa."
prestonsimm,nice is different than good.
ctsotsoros,"already, but not yet..."
CyberManin,"my nights are brighter than your days, physicien nuclaire, inventeur du hashtag $hashtag$ _ lln pu _ 'pp ss_d pupille de l'etat"
arthur_affect,"mad genius, comedian, actor, and freelance voiceover artist broadcasting from the distant shores of lake erie."
DavidSmith5454,"love all living creatures and god; friendly, joyful, fair, and trusting (but perceptive). very logical but live by faith. highly educated country boy at heart."
Bilalipaup,no. i'm not gonna tell you where my name is from. i'm kind of the worst and the best. $hashtag$
JuicedUpRELL,ceo of (o)nly (t)he (b)roos $hashtag$ $hashtag$ sc: juiceduprell ig: rellworthamill email: mvprell$mention$.com loyalty $number$ comin soon
MrParking,"* parking e$smiley$ert * specialist in policy, technology and payments to deliver fair and quality parking services and standards for all users. views are my own."
PaulICMYAS,i can make you a supermodel videos: $url$ instagram: $mention$ follow my assistant: $mention$
stephentyrone,"professional curmudgeon by day, amateur stick-in-the-mud by night. sparkly."
KurtKjellstrom,love my wife! love my three adorable girls! love too serve others! $number$ million miler on $mention$!
JamesAvis91,snapchat: jamesa91
biebusxchrist,i wish i was kinda hot though *get sounds good feels good on itunes* (multifandom)
Hurricane_Chrxs,"if you not a nbk , whatcha waiting for? -$hashtag$ photographer. college life. $hashtag$ $hashtag$ instagram : hurricane_chr$smiley$. easter sunday"
GeekInfoNow,my $hashtag$ account where i will post stuff dealing with tech only $hashtag$ $hashtag$ $hashtag$ $hashtag$ if you like sports follow my other account $mention$
Mr_Mercuryy,deleted because $mention$ was mean to me. rsn: thunderous _your mom_ $number$maxed $number$/25/159
its_Chrisy_E,$hashtag$
TheNazrul,losing you
NJD_1982,inventor of the tuna melt - heidi klum is my side piece
JackClifton2,all you need is looks and a whole lot a money
Ospreys_44,ex solider $hashtag$ i tweet for fun if you belong on twatter please feel free to jog on. all the voices in my head belong to everyone of me
thebigzookeeper,senior pyrotechnic designer: i design and produce large scale public firework displays ian.scott$mention$.com
APTminer,"welcome too my twitter, i am $number$ year old single gamer, who tweets funny pictures and random stuff. my rsn is aptminer1. i love history, especially ww2."
dewesh_tiwary,politician
WadTheGawd,ig: wadthegawd | sc: fawad_yousufzai
MattyKrop17,"goalkeeper! southampton saints fan! bruins fan! wwe fan! december $number$, $number$. being realistic is the most commonly traveled road to mediocrity- will smith"
joepanettieri,"co-founder and content czar, $mention$ & $mention$. tech media entrepreneur & angel investor. co-anchor $mention$. member $mention$"
tony_drunk,i drive a lawnmower slower than molasses. judge me. guiness world record holder for the longest lasting boner. masters degree in fatfuckiology
jrycraft01,"mountaineer, paddler, all-round good guy."
trevormccabe17,be the change you want to see in the world.
andyreiff,i'll do it. but only for the attention.
jaylennn_3,", moni campaign_"
MikeEnders3,currently deployed to go box a kangaroo. wish i had a beer with me. or $number$.
BradyMclean1313,"im one gnarly rad dude, hd motorcycles, mma, rock n' roll, bjj, traveling, owner, party on wayne. that is all you must know. jesus loves you."
BobRblock84,"chief customer success officer at $mention$. collaboration, enterprise software, rowing/mtn biking/paddle boarding, foodie, travel, family, living in marin"
ewertoncolombo,o mundo da voltas.
ConorDarrenD,"usf coed cheerleader, royalty, musician, intersectional feminist, ebhs and ba alumnus"
trajcevskid7,i'm just an ordinary dork who likes youtube
CahairOKane1,sports editor $mention$. freelance sports journalist for others (shhhh). very proud drum man. goalkeeper. all opinions are someone else's
aidyduffresne,manchester united v shawshank redemption
LFCibe,"chat shit get banged - jamie vardy, $number$"
azzafed,"it's very simple, this is what i believe and i'm willing to die for it, period!"
georgesonalfred,i've already made a few hundred thousands usd and got the withdrawals. i can share the secret with some traders!!
paul_s_kemp,"$url$ launched $hashtag$ app beating minecraft, host a chart topping show 'the app guy podcast' by interviewing app founders who inspire us."
BlackMtnCBGs,black mountain guitars handcrafted cigar box guitars in maine usa...
Lzrjok,amateur snark. husband of a very talented designer and proud father of two sons who married very well.
clarence_carr,hmmm...
fndinya,"teaching is what i do,learning is what students achieve,a better world is what we participate in creating."
jbsbr27,"love to cook, try e$smiley$tic cooking oils .look me up check us out.great network marketer. shop from home"
davidcat24,$url$
KazeIsRaaj,kz. artist. dreamer. encoded. gentleman. sweet-tooth. shoelace mafia. optimistic realist. bad panda klan. cereal killer. believer. restless. skater. g33k. k9.
cobrollins,"save energy, delete your facebook account new yorker e$smiley$at programmer audio developer music nerd foodfoodfood"
n_blondel,bristolian exiled to glasgow. economics student. hospitality worker. corsican. beleaguered labour party member.
WMBL_SUNLUN,sunlun
COol_1ne,i feel like a goddamn bullfighter bruh $hashtag$ $url$ - $number$/2 of $mention$ | $hashtag$| black jesus
robertmeyer9,$hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$
saaconsulting,"marketing strategist for small business: marketing plans, sales training, leadership, internet marketing including social media, seo, sem, ppc."
citanna32,living til my purpose becomes clear.
PROforma_Micomm,"we build the right selection of print, promotional, web and mobile solutions to deliver your message sustainably"
Jaredlovesher,coppin state alum. $hashtag$ ig and snapchat: jaredlovesher
faulkner_mitchh,$number$-26-14 dont take anything for granted. perhaps tomorrow you wont be so lucky
AndybBenson,"if you cant have a laugh have a bag of chips and never stir your paint with a dirty stick,love music"
danwoodsearly,dan woods finds technology for early adopters. he helps vendors find buyers and buyers find technology by creating content like the comic on the background.
MWatty55,father of two maine coons. husband of $mention$. die-hard $mention$ fan. video gamer. higher education professional. $hashtag$ $hashtag$ $hashtag$
drewlichty,i guess i'll go fuck myself
bigdemonskull,"android, pc, student of civil engeneering, male, class $number$, lower nerd, etc : i'm this and more"
charlie_38686,"norwich fan, love both football and cricket. i moan...a lot."
AkaYungDonJuan,mu$ic compo$er | $number$ | $number$ | golden$tate | bayarea | it$lit | ungdon$ | $hashtag$ | $hashtag$ | $hashtag$ | $hashtag$ $hashtag$ $hashtag$
CoachJFry,skills coach for $mention$ helping engineer basketball greatness assistant coach at drury university
MayhemMike24,$number$st team all-psp | i dabble in the dog food game $hashtag$
cptsgtpeppers,"rocketship builder, pizza e$smiley$ert, steeler fan and warrior from andromida galaxy"
Zoosange,i live to laugh love pray learn be a good son a good brother a good friend be happy nmmu alumni ndinguzusange $smiley$
Bark1409,i am a $number$ year old male managing director of my transport company bds ltd i don't care about my wealth i care about people who suffering under hardship
donjohnsonpentz,"ba graduate; doing my llb at wits university. i am a lucky scorpio, success is my alternative name. i say live love laugh cause life has no rewind button $smiley$"
GrandAngus9,g'day owner of emoji cushions! snapchat/instagram: grandangus9. periscope: angus howell
archilocheion,"haupteigenschaften des menschen: geselligkeit, spieltrieb, faulheit; geilheit; doofheit, grausamkeit. arno schmidt"
BigSkyGuy57,sick of the avalanche of lies and distortion.
BadBoyOfEditing,"man child, $number$sec salesman, hindsight artist, iphone game duder & juvenile humorist. perpetrator of self serving tweets and anarchy."
iFayaz,"a happy husband & a father. i love my wife, baby & it. i tweet & retweet what i think & feel about real life matters. $smiley$ add: $url$"
ChadChadsurfing,small business owner surfboard shaper family man loves being a dad
King_Stoopid,the laws of stoopidness otw!!!
E3_UNLEASHED,my life is like a tv show a tcb man fixing my life & finding first & true love $hashtag$ $hashtag$ determined $hashtag$ $hashtag$$hashtag$! $hashtag$
drmarcspooner,associate professor at the university of regina. oftentimes social/political commentator. say no to needless austerity in sk!
dCyph_Kaya,ethan 'kaya' holmes-good- sixteen homie- cod manager for $mention$ - $hashtag$
GravelordDevil,hi my name is erick i love playing video games i do live streams everyday on twitch look up gravelorddevil and i hope you enjoy my videos $smiley$
magicallester,dan falls off more chairs than i have friends
JoeyIckes,"husband, father, mba grad, football geek. $hashtag$, bleacher report nfl cowboys game day correspondent, cowboys crunchtime..."
Rick_sauce060,today i will do what others won't
robertmeyer9,$hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$
woelfel,independent video game developer. this is a personal account and does not represent the views of my employer. read at your own risk. $smiley$ this is for fun.
PattyStumpSays,"music is the brother i get along with. check out my youtube, common band meme! $url$9"
AUTigerGSUEagle,"managing editor $url$, georgia southern eagles contributor for $url$c, scotch drinker, cigar smoker, loving life on the plains"
TheUnCommon_ME,just a chill nigga $hashtag$ $hashtag$ ig: $mention$ $hashtag$ $hashtag$
daymoney760,$hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ $hashtag$ best on the net
adamversuslife,winner of the high horse grand national
ShaunInce123,"best friend is $mention$. fan of video games & anime .huge fan of $mention$, $mention$, $mention$, $mention$ & $mention$"
ThatSpiceMaxi,"football watcher, music listener."
lem1967,nasce a bologna il $number$/03/1967. si diploma in lingue nel $number$. si occupa di programmazione dal $number$. inaspettatamente sposa cristina a san lazzaro il $number$/05/2010.
Manny_United10,"you're only given a little spark of madness, you mustn't lose it - robin williams $mention$ $mention$ $mention$ $mention$"
dookyyy,"thank you for joining me ! i hope you leave positive impressed, inspired or at least the better informed to make your world better, thanks. -news twitt-"
Tone_NvaGivinUp,god's first philippines $number$:13 - i can do all things through christ who strengthen me
CChaloupsky,satisfaction since $number$
SPMNJ,if your reading this then im really surprised but who cares
bradfontaine,"husband to nicole, father to roman and kingston, worship pastor $mention$, and lover of all people!"
theonlyresons,you didn't see that coming?
steve05g,just an uninformed and opinionated twit e$smiley$ressing views that i might agree with but later might not. no proper profile pic because i have a face for radio.
WHwdDude,"reading feeds, randomly responding; making stuff up on my own"
JoelCaseyy,everything's coming up milhouse
domcrofts,"tv producer, $hashtag$ fan, eibar/oviedo shareholder, $hashtag$ $hashtag$ craft beer & comedy lover. i probably hate your team. all views my own yadda yadda"
Optiv8,"inform & optimize marketing: marketing measurement, customer research, marketing planning, content development $url$ $url$"
iPeytonManning,we aggregate all of the news stories from around the web about peyton manning. we are not affiliated with peyton manning... we are just huge fans!
AnthonyBruuuuh,short but so is my dick
